tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,119.0,91.5,87.0,101.5,52.0,42.5,58.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,131.0,116.1,108.2,91.3,107.4,43.5,71.6,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110.0,110.0,82.0,75.0,90.0,49.0,60.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,103.0,90.4,65.8,47.2,93.6,40.0,62.4,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,79.0,87.6,69.2,39.8,92.4,77.0,61.6,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,103.0,90.4,65.8,53.2,93.6,78.0,62.4,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,104.0,76.0,78.0,62.0,37.0,40.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,128.0,107.9,95.8,83.7,90.6,75.5,34.4,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,93.0,71.0,112.0,41.0,35.0,70.0,56.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,105.0,106.6,115.2,66.8,54.4,72.0,57.6,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,149.0,125.9,100.8,119.7,102.6,85.5,68.4,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,93.0,65.2,65.4,34.6,29.8,69.0,55.2,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,136.0,115.7,130.4,78.1,68.8,81.5,65.2,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
