idea,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
idea_num_k,4,4,4,7,3,6,5,6,6,3,3,8,6,8,9,5,5,7,5,7,5,4,7,5,8,6,9,4,3,7,6,8,4,13,17,10,8,11,8,6,8,4,6,8,7,6,10,6,8,6,10,6,7,7,10,7,10,10,10,9,7,8,10,6,9,8,5,6,7,4,4,5,7,7,4,5,6,12,10,8,9,7,7,5,9,8,7,6,9,5,5,7,8,14,6,5,8,7,7,6,8,7,9,9,6,5,8,6,6,10,9,5,5,5,7,6,5,4,6,9,9,4,5,1,4,1,9,7,6,7,6,13,6,6,11,7,7,3,5,7,5,7,4,2,8,8,6,10,5,7,4,5,3,1,5,3,1,3,4,4,5,4,2,7,5,3,2,3,1,4,2,4,1,2,3,9,3,5,2,1,1,4,1,3,3,2,0,2,0,4,1,2,1,0,1,0,0,2,0,1,1,0,2
idea_time_to_inflect,4,4,5,6,5,8,10,11,6,1,4,7,2,10,-1,5,10,6,7,7,7,3,6,5,8,3,9,3,4,14,7,7,4,4,6,9,4,9,5,3,7,5,10,14,6,6,9,5,8,6,11,7,8,5,8,6,11,9,9,8,7,18,8,7,7,9,6,11,7,9,9,8,14,8,7,7,9,10,11,11,12,9,8,10,11,11,9,10,9,10,9,9,13,13,10,12,10,11,12,9,11,14,11,11,11,13,15,12,13,12,11,12,13,13,13,13,12,-1,14,12,15,-1,16,-1,19,-1,14,14,13,15,17,15,14,13,16,16,16,-1,-1,15,15,15,16,-1,17,17,16,17,18,19,18,17,-1,-1,19,-1,-1,-1,18,19,19,19,-1,18,17,-1,-1,-1,19,19,-1,-1,-1,-1,19,19,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
idea_sci_impact,96.39779044084428,102.5,97.3,84.7,94.5,80.3,87.9,87.8,98.9,91.4,88.1,102.9,102.7,103.8,112.7,100.0,104.9,104.0,102.8,92.7,122.5,92.4,85.6,109.1,90.1,90.0,99.8,107.5,97.5,112.8,80.1,75.6,103.9,85.7,67.5,94.8,108.0,71.1,95.6,103.6,95.6,85.4,97.5,91.2,113.4,108.9,99.9,107.2,101.6,120.6,90.2,99.6,84.6,100.8,100.7,90.6,103.3,103.2,102.9,76.7,96.9,78.3,71.8,96.0,104.1,86.1,104.8,73.1,90.1,104.0,97.8,105.9,91.9,106.1,88.4,104.4,97.9,108.7,78.6,80.8,85.9,100.0,99.4,107.8,84.4,92.5,91.1,94.5,100.0,73.5,103.4,79.8,92.8,108.2,99.0,105.0,97.4,87.6,93.3,87.0,99.9,86.9,111.5,92.9,94.6,77.2,83.2,96.2,118.2,81.1,88.4,99.8,97.5,85.2,93.0,91.0,90.3,11.6,97.8,112.2,90.2,20.7,99.0,0.0,47.6,0.0,98.9,98.0,88.9,81.0,105.9,91.1,110.1,106.7,98.4,96.2,88.8,0.2,4.5,80.6,87.0,93.2,91.1,0.1,83.9,83.0,101.1,78.3,76.7,69.2,108.5,99.5,31.2,0.0,78.7,8.9,23.3,23.8,91.9,58.3,47.6,42.3,0.1,96.9,72.8,0.1,0.2,2.4,73.3,48.4,7.2,37.9,0.1,0.1,81.3,96.2,7.6,94.0,0.3,0.0,4.2,0.1,0.0,12.5,4.7,0.0,0.0,9.0,0.0,4.5,0.0,0.5,0.1,0.0,0.3,0.0,0.0,6.4,0.0,6.7,8.5,0.0,0.0
idea_total_effort,636.8399999999999,563.4,567.9,639.8,667.3,594.4,738.4,549.2,882.4,687.2,567.6,805.7,629.7,712.4,520.1,568.6,830.9,491.9,727.1,696.2,600.1,649.9,513.7,592.0,667.8,514.4,630.1,619.6,478.8,698.1,499.2,616.8,732.9,454.7,384.4,614.7,627.0,426.0,636.0,638.8,696.3,557.1,726.5,539.5,620.8,587.4,488.7,493.7,555.1,692.3,511.8,504.4,557.6,508.6,556.2,672.5,507.7,523.6,523.0,423.2,532.5,702.2,472.8,498.3,531.9,425.3,503.4,595.2,572.0,1034.2,553.4,585.0,611.0,632.9,592.6,609.7,642.1,479.5,541.4,490.7,797.1,536.5,638.9,594.3,545.3,644.1,554.5,493.8,1150.7,489.2,638.6,503.6,690.0,627.5,542.2,540.8,516.8,623.3,561.3,615.2,706.2,539.2,644.3,555.7,571.6,469.2,633.9,512.0,673.9,464.8,513.9,609.3,515.0,512.7,583.4,1024.6,578.0,167.9,659.2,684.7,597.6,233.8,513.8,0.4,312.6,0.0,646.2,1070.4,468.6,850.4,619.6,531.6,650.2,577.5,488.6,613.2,466.2,12.8,115.0,470.7,549.1,579.9,440.7,4.4,542.3,615.4,600.0,401.0,388.3,360.0,637.2,460.0,270.7,0.0,409.7,136.6,236.7,209.9,536.2,355.4,312.2,334.7,3.1,595.9,416.7,3.3,9.2,69.5,365.6,326.1,133.6,257.6,8.7,4.1,381.6,675.1,138.6,540.9,8.8,0.0,114.0,3.0,1.4,143.1,121.3,7.0,0.0,91.2,0.0,128.0,0.1,13.1,5.3,0.0,5.9,0.0,0.0,111.6,0.0,110.0,99.0,0.0,0.0
