tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
24,0.0,0.0,202.2,277.0,421.2,528.6,671.3,697.7,814.6,875.1,945.7,950.3,950.3,950.3,950.3,950.3,956.9,956.9,956.9,956.9,956.9,956.9,997.3,1025.4,1025.4,1084.9,1084.9,1084.9,1084.9,1106.5
25,0.0,0.0,0.0,127.7,300.5,566.1,587.6,641.5,641.5,646.7,646.7,646.7,668.6,668.6,673.2,673.2,673.2,720.4,760.1,801.8,814.5,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0
26,0.0,0.0,0.0,7.2,107.2,188.2,255.7,340.2,423.8,529.1,597.3,620.8,643.6,659.6,678.8,696.2,696.2,696.2,739.4,769.7,794.6,826.3,826.3,833.8,833.8,833.8,833.8,833.8,833.8,833.8
27,0.0,0.0,0.0,220.8,385.2,436.1,542.4,664.2,732.4,749.6,754.2,762.7,790.3,796.2,796.2,817.1,862.1,862.1,862.1,862.1,862.1,866.4,866.4,866.4,866.4,866.4,866.4,866.4,866.4,866.4
28,0.0,0.0,0.0,112.3,237.4,402.2,578.9,701.1,777.0,777.0,797.8,797.8,797.8,797.8,797.8,797.8,797.8,797.8,797.8,797.8,797.8,797.8,797.8,839.2,877.6,911.4,925.8,925.8,925.8,925.8
29,0.0,0.0,0.0,124.8,435.1,545.2,606.3,606.3,678.8,678.8,678.8,678.8,678.8,678.8,762.2,796.2,867.0,906.9,927.8,945.7,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0
30,0.0,0.0,0.0,7.4,7.4,7.4,115.4,376.6,507.9,606.6,733.1,812.3,825.6,831.5,866.1,870.3,887.6,887.6,904.1,916.6,949.6,990.0,1007.3,1007.3,1007.3,1007.3,1007.3,1007.3,1007.3,1007.3
31,0.0,0.0,0.0,82.1,281.0,449.0,596.2,771.2,853.8,887.7,903.2,915.6,924.9,924.9,924.9,924.9,954.9,1013.2,1037.8,1037.8,1062.6,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1073.3,1073.3,1073.3
32,0.0,0.0,0.0,0.0,7.2,181.2,466.6,594.4,594.4,639.5,678.0,752.4,819.0,843.7,843.7,870.9,910.6,931.1,945.9,945.9,954.0,967.0,981.6,981.6,981.6,981.6,981.6,981.6,981.6,981.6
33,0.0,0.0,0.0,0.0,125.3,399.6,637.2,797.2,797.2,812.9,831.8,910.3,945.1,1085.0,1133.9,1133.9,1145.2,1145.2,1220.3,1220.3,1220.3,1220.3,1220.3,1234.1,1243.7,1266.2,1273.4,1273.4,1273.4,1273.4
