idea,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262
idea_num_k,11,9,10,12,6,10,15,11,7,9,5,14,8,11,8,6,7,7,13,10,13,10,10,14,12,16,10,12,8,9,9,10,8,9,8,11,10,14,15,10,10,10,10,11,6,12,14,11,9,12,8,12,13,8,14,11,6,6,9,10,13,10,10,6,7,7,8,9,10,7,10,6,8,12,5,8,5,13,10,9,10,5,6,6,6,6,3,7,8,6,8,10,9,6,11,7,8,6,7,4,5,8,8,5,9,7,4,5,5,7,5,7,8,7,6,4,4,7,5,7,3,3,6,6,5,5,4,9,6,6,9,5,6,9,6,6,5,9,7,7,3,6,6,7,5,5,7,7,5,5,6,7,5,9,5,9,6,6,7,9,4,5,7,4,7,7,6,5,6,5,1,4,4,7,8,4,7,6,5,4,2,3,3,6,2,4,5,1,3,1,5,4,4,3,4,5,4,7,4,4,4,5,6,2,4,5,5,2,2,3,7,2,4,4,4,5,2,2,4,2,5,4,1,2,3,3,4,4,3,3,4,3,4,5,4,0,2,2,1,4,3,0,1,0,2,2,1,0,2,1,0,1,1,0,0,1,0,3,1,1,0,1,0
idea_time_to_inflect,4,4,3,3,3,5,1,2,2,1,1,4,4,3,3,2,-1,6,4,5,5,4,4,-1,3,4,7,4,6,5,7,5,6,5,6,8,6,6,8,6,-1,6,9,8,8,8,7,15,8,9,11,8,10,8,9,8,9,9,9,8,13,9,10,9,15,12,9,10,10,12,10,16,13,13,11,14,10,10,11,14,11,12,13,11,17,12,12,14,12,13,16,14,16,14,15,14,19,13,17,17,21,15,16,15,16,16,15,15,-1,21,17,15,22,16,16,16,16,26,18,19,20,19,21,17,19,16,20,19,23,21,19,16,22,18,18,19,18,21,24,25,27,28,21,21,20,17,23,24,-1,23,19,20,18,24,23,21,24,21,21,22,23,27,19,22,22,22,25,21,23,21,25,23,21,23,27,29,24,22,27,22,-1,-1,20,-1,21,24,-1,-1,24,-1,22,25,22,29,26,27,24,25,23,23,24,-1,27,27,27,25,29,-1,28,-1,26,24,29,25,29,28,-1,-1,-1,28,29,27,-1,29,26,28,28,28,25,26,-1,-1,26,-1,-1,-1,-1,29,-1,29,29,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
idea_sci_impact,96.9998865660585,107.0,100.8,85.9,95.0,82.0,88.0,93.0,98.8,92.0,91.0,103.0,76.0,83.0,105.9,108.9,99.0,85.8,104.9,99.0,111.0,82.7,104.6,79.0,108.9,96.8,103.0,102.0,83.8,92.0,101.7,101.0,106.7,112.7,82.9,78.9,102.0,95.0,88.4,96.0,115.0,99.0,103.4,86.0,105.9,112.0,92.7,84.3,102.9,90.4,79.0,107.0,99.9,96.7,97.9,110.0,108.5,119.9,88.1,99.0,104.8,108.9,81.0,92.0,88.8,91.8,117.5,95.7,107.9,100.8,122.7,108.4,96.8,93.9,107.6,102.0,103.8,95.3,96.1,106.0,81.4,100.1,109.0,93.6,96.3,115.7,96.5,93.6,111.8,84.8,102.6,118.9,99.9,125.8,89.6,101.0,75.5,101.7,98.8,99.9,80.1,102.8,103.8,107.0,111.5,108.7,114.6,92.9,20.7,91.6,92.8,117.2,104.1,99.3,91.9,100.1,83.8,90.5,101.1,83.9,81.9,73.5,113.8,113.0,94.0,96.5,115.8,105.8,102.9,94.1,103.7,93.7,105.8,102.5,120.3,92.1,96.7,107.8,97.3,100.4,89.9,65.7,86.8,95.2,99.3,101.9,86.8,89.1,16.8,87.3,104.8,84.0,102.4,85.2,105.1,86.8,94.6,102.3,113.2,102.7,81.0,92.0,100.9,101.8,82.8,98.3,89.4,83.0,99.7,103.8,62.1,121.5,95.3,88.2,107.6,86.8,102.4,102.2,117.6,109.9,9.2,15.0,88.6,104.4,109.4,94.5,43.9,0.3,84.5,0.0,95.8,98.3,93.3,72.5,109.2,85.7,114.8,95.9,101.1,90.7,101.0,1.0,83.7,122.6,65.5,87.3,53.2,1.5,61.6,14.5,103.8,102.1,93.5,105.9,67.7,78.6,0.9,0.3,6.1,77.6,80.5,81.4,0.4,41.5,89.2,103.5,82.0,97.0,87.7,89.7,47.1,1.1,100.7,23.2,15.0,0.0,4.4,44.9,0.2,57.6,52.5,0.0,0.2,0.0,7.7,2.7,0.0,0.0,52.0,0.1,0.0,0.1,0.3,0.0,0.0,0.3,0.0,12.0,8.7,0.1,0.0,0.1,0.0
idea_total_effort,1246.2500000000002,1048.2,831.0,815.2,816.5,998.3,903.9,1045.0,796.8,1011.2,933.8,1126.8,787.2,989.3,797.7,862.6,905.3,793.3,777.0,980.6,928.3,745.2,666.8,973.8,849.1,778.3,757.8,984.4,732.0,912.5,776.3,950.9,792.1,776.8,808.7,897.4,1185.4,956.8,766.8,646.4,1060.6,1158.4,660.6,976.4,915.1,789.4,714.0,573.7,723.2,642.8,880.5,777.1,751.3,718.7,823.9,933.4,625.5,893.1,696.9,919.7,650.2,878.7,1082.1,830.8,492.9,506.3,674.0,748.6,849.0,638.0,817.4,524.6,833.0,809.1,709.4,856.6,557.7,756.6,689.0,654.3,677.4,621.5,583.5,748.5,601.7,628.8,613.8,705.6,769.8,796.7,669.7,826.8,713.7,718.6,672.6,839.4,472.9,824.1,705.3,602.4,453.4,703.4,687.1,627.1,703.6,694.5,627.4,706.7,255.9,585.7,612.8,609.6,647.9,691.6,791.6,739.9,768.4,657.1,696.8,725.4,399.4,561.2,748.6,814.0,641.6,614.2,611.5,660.7,573.6,642.9,722.8,603.3,454.8,692.1,645.0,666.0,766.7,824.4,456.1,536.8,423.0,340.3,818.2,588.6,659.2,699.6,752.3,650.1,187.4,385.2,554.1,683.2,528.7,647.4,659.6,701.6,609.5,663.1,570.2,664.1,562.4,466.7,720.7,506.9,711.6,626.2,706.2,497.4,576.9,641.0,360.7,619.3,582.0,527.8,552.7,444.8,714.0,771.0,727.7,780.5,173.6,179.5,489.2,660.1,741.2,594.3,270.3,7.0,615.7,0.2,751.0,596.6,498.5,368.3,659.6,455.3,604.6,553.9,646.2,530.2,461.5,64.3,702.9,564.2,355.7,479.1,347.4,55.0,316.3,162.5,623.1,538.0,505.3,873.1,368.8,432.8,36.8,13.3,106.4,419.3,368.6,373.7,14.1,306.5,546.6,387.9,496.6,589.8,572.1,685.3,313.8,39.2,665.3,238.0,179.5,0.0,80.0,315.9,9.5,281.9,349.3,0.0,7.7,0.0,111.6,53.0,2.7,0.0,299.5,3.0,0.0,3.7,13.3,0.0,0.0,8.5,0.0,156.9,135.0,7.0,0.0,9.4,0.0
