tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50,0,0,0,0,0,0,0,0,1,1,3,5,5,5,5,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8
51,0,0,0,0,0,0,4,4,7,7,7,7,7,7,7,8,8,10,10,10,10,10,10,10,10,11,12,12,12,12
52,0,0,0,0,0,0,0,1,1,6,6,6,9,10,10,10,10,10,10,10,11,12,12,12,12,12,12,13,13,13
53,0,0,0,0,0,0,0,3,5,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
54,0,0,0,0,0,0,0,1,3,8,8,10,10,10,11,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14
55,0,0,0,0,0,0,0,3,4,4,7,7,8,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11
56,0,0,0,0,0,0,0,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
57,0,0,0,0,0,0,0,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
58,0,0,0,0,0,0,0,1,4,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
59,0,0,0,0,0,0,0,3,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
60,0,0,0,0,0,0,0,0,2,4,6,6,7,9,9,10,11,11,11,12,12,12,12,13,13,13,13,13,13,13
61,0,0,0,0,0,0,0,0,4,5,5,6,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
62,0,0,0,0,0,0,0,0,2,4,4,6,6,6,6,7,7,8,8,8,8,8,9,9,10,10,10,10,10,10
63,0,0,0,0,0,0,0,0,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
64,0,0,0,0,0,0,0,0,1,2,2,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,0,0,0,0,0,0,0,0,1,1,2,4,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7
66,0,0,0,0,0,0,0,0,3,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
67,0,0,0,0,0,0,0,0,2,3,5,6,6,6,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
68,0,0,0,0,0,0,0,0,0,2,5,7,7,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10
69,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7
70,0,0,0,0,0,0,0,0,0,5,6,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10
71,0,0,0,0,0,0,0,0,0,1,3,3,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
72,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,5,5,6,6,6,6,6,6,6,6,7,7,8,8,8
73,0,0,0,0,0,0,0,0,0,2,3,5,5,6,7,9,9,10,10,10,10,10,10,11,12,12,12,12,12,12
74,0,0,0,0,0,0,0,0,0,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8
76,0,0,0,0,0,0,0,0,0,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
77,0,0,0,0,0,0,0,0,0,5,6,6,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
78,0,0,0,0,0,0,0,0,0,0,7,7,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
79,0,0,0,0,0,0,0,0,0,0,2,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9
80,0,0,0,0,0,0,0,0,0,0,5,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
81,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5
82,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6
83,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6
84,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,6,6
85,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
86,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
88,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8
89,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
90,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,5,6,6,7,8,8,8,8,8,8,8,8,8,8
91,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10
92,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,6,6,6,7,7,7,7,7,9,9,9,9,9,9
93,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,4,4,5,6,6,6,6,6
94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11
95,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
96,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,6,7,7,8,8,8,8,8,8,8,8,8,8
97,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
98,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,6,7,7
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,4
100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5
101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,6,6,6,7,8,8,8,8,8,8,8,8,8
102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,6,7,8,8,8,8,8,8,8,8,8,8,8
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5
104,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,6,7,7,7,7,8,8,8,8,8,8,9
105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,4,6,6,6,7,7,7,7
106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
107,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,6,6,6,6,6,7,7,7,7
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,5,5,5,5,5,5,5
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,6,6,7,7,7,7,7,7,7,7,7,7
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,5,6,7,7,7,8,8,8,8
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,6,6,6,6,6,6,7,7,7,7,7
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,6
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,4,5,5,5,5,7,7,7,7
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,5,5,5,5,7,7,7,7,7,7,7
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,6,6,6,6,6,6,6,6
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,5,5,5,5,5,5,6,6
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,5,5,5,5,5,5,5
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,4
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,6,7,7,7,7,7,8,8,8,9,9
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,5,6,6,6,6,6,6
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,4,4,4,4,4,6,6
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,6,8,9,9,9,9,9
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,5,6,6,6,6
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,7,8,8,9,9,9,9,9,9,9,9
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,4,4,5,5,5,6,6
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,5,5,5,5,5,5,6,6,6
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,4,5,5,5,5,5
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,6,6,7,8,9,9,9
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,5,5,7,7,7,7,7,7
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,6,7,7,7,7
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3
