tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
25,0.0,0.0,0.0,127.7,221.9,64.0,66.5,38.6,0.0,73.2,84.9,0.0,7.1,0.0,0.0,5.3,0.0,12.0,0.0,5.2,7.5,0.0,0.0,0.0,34.2,23.2,0.0,0.0,7.1,0.0
26,0.0,0.0,0.0,7.2,80.0,56.7,13.5,229.6,42.4,33.7,0.0,8.8,0.0,16.0,23.1,5.3,0.0,12.0,30.6,23.1,84.1,75.6,11.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,220.8,221.8,69.3,84.9,39.9,38.3,28.9,94.0,172.3,12.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,112.3,8.1,122.4,144.3,240.7,0.0,0.0,23.4,0.0,0.0,0.0,13.7,11.0,17.8,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,124.8,161.5,94.2,2.4,54.2,52.4,0.0,0.0,1.5,129.0,45.9,80.4,56.7,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,42.3,0.0,0.0,26.4
30,0.0,0.0,0.0,7.4,10.7,119.5,27.4,267.4,92.1,0.0,4.4,3.1,101.5,55.3,26.1,41.7,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,82.1,112.0,318.7,161.2,71.5,0.0,0.0,26.6,0.0,0.0,0.0,19.6,31.3,9.9,0.0,0.0,0.0,0.0,0.0,0.0,84.0,34.2,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,7.2,182.1,322.1,102.9,11.7,11.8,95.2,36.8,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,125.3,447.6,56.1,73.5,4.1,8.0,0.0,4.7,4.4,6.6,0.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,137.1,149.5,168.5,221.0,20.4,54.9,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,0.0,4.4,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,4.9,78.0,168.6,90.8,166.9,123.3,18.9,63.1,55.2,64.5,0.0,4.1,16.6,12.4,0.0,0.0,0.0,0.0,0.0,12.6,9.0,0.0,0.0,8.5,0.0
36,0.0,0.0,0.0,0.0,0.0,124.2,267.7,348.7,223.3,66.0,77.0,3.1,10.8,0.0,52.6,0.0,0.0,0.0,9.4,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,249.6,217.2,110.8,78.2,0.0,40.7,0.0,0.0,22.9,97.1,9.0,0.0,67.9,36.7,7.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,4.3,176.8,190.1,88.8,41.5,44.8,48.8,21.9,15.1,0.0,4.2,16.6,40.9,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5
39,0.0,0.0,0.0,0.0,0.0,166.1,390.7,50.4,7.6,18.0,0.0,3.8,2.7,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,322.6,255.7,14.3,70.6,4.2,61.2,39.4,46.7,81.9,100.9,7.1,0.0,6.7,46.3,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,272.6,215.4,208.9,58.6,14.2,12.3,65.4,76.7,23.1,7.4,0.0,18.7,46.0,40.5,35.8,0.0,12.2,8.5,0.0,9.6,32.4,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,23.9,120.1,130.9,33.7,131.2,36.4,14.0,0.0,41.8,0.0,4.2,0.0,0.0,10.7,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,6.8
43,0.0,0.0,0.0,0.0,0.0,0.0,14.5,134.6,282.3,143.7,26.1,42.6,36.6,9.0,11.0,34.3,34.0,0.0,18.2,0.0,64.4,0.0,8.4,7.0,15.3,55.3,0.0,39.2,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,6.8,7.3,336.8,226.5,78.2,24.3,0.2,47.5,21.2,0.0,3.5,0.0,0.0,0.0,18.8,83.3,0.0,0.0,56.7,0.0,0.0,4.1,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,31.4,90.4,197.4,149.1,72.2,60.9,0.0,0.0,0.0,0.0,0.0,41.5,69.4,74.6,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,21.8,450.3,118.6,13.2,2.9,2.7,0.0,0.0,25.3,4.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,22.3,19.7,11.0,6.1
47,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,3.7,43.0,73.7,99.4,44.1,0.0,0.0,72.3,79.6,59.0,53.6,17.3,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,130.8,82.4,68.2,87.0,78.6,23.9,8.5,4.4,0.0,0.0,26.2,114.6,15.3,0.0,0.0,0.0,4.4,0.0,5.0,0.0,0.0,30.4,43.6,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,4.0,73.6,180.0,214.8,20.0,21.1,12.4,0.0,27.8,10.1,25.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.9,36.4,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,91.7,173.8,179.0,49.6,83.6,38.6,14.4,13.8,35.0,24.4,127.3,0.0,6.1,4.3,28.5,4.4,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,128.8,130.0,272.3,4.2,38.5,30.7,2.6,1.0,0.0,10.6,9.5,12.1,79.3,0.0,0.0,0.0,5.5,0.0,0.0,5.3,26.8,13.2,0.0,6.8
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.9,146.2,288.3,83.0,68.7,24.4,27.1,4.2,4.1,0.0,0.0,0.0,9.8,14.8,56.0,9.4,0.0,0.0,0.0,5.9,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,214.0,40.0,150.5,64.9,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,92.9,285.4,86.4,82.6,6.7,0.0,6.0,37.7,30.8,25.3,0.1,4.3,0.0,26.6,7.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.8,294.1,62.7,165.6,81.8,48.6,81.3,3.4,0.0,5.2,10.6,0.0,17.9,0.0,6.1,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
